timestamp,distance,strength,temperature
2024-12-02 17:14:37,38,8447,52.0
2024-12-02 17:14:37,26,2611,52.0
2024-12-02 17:14:37,18,1486,52.0
2024-12-02 17:14:37,13,1301,52.0
2024-12-02 17:14:37,16,1335,52.0
2024-12-02 17:14:37,21,2587,52.0
2024-12-02 17:14:37,31,1825,52.0
2024-12-02 17:14:37,43,1232,52.0
2024-12-02 17:14:37,85,2153,52.0
2024-12-02 17:14:38,248,2156,52.0
2024-12-02 17:14:38,248,2148,52.0
2024-12-02 17:14:38,248,2148,52.0
2024-12-02 17:14:38,248,2142,52.0
2024-12-02 17:14:38,247,2139,52.0
2024-12-02 17:14:38,142,1587,52.0
2024-12-02 17:14:38,49,5522,52.0
2024-12-02 17:14:38,37,8112,52.0
2024-12-02 17:14:38,28,4680,52.0
2024-12-02 17:14:39,20,1801,52.0
2024-12-02 17:14:39,16,1444,52.0
2024-12-02 17:14:39,13,1474,52.0
2024-12-02 17:14:39,14,1635,52.0
2024-12-02 17:14:39,17,1917,52.0
2024-12-02 17:14:39,22,2067,52.0
2024-12-02 17:14:39,29,1903,52.0
2024-12-02 17:14:39,39,1397,52.0
2024-12-02 17:14:39,51,5184,52.0
2024-12-02 17:14:39,165,1644,52.0
2024-12-02 17:14:40,249,2145,52.0
2024-12-02 17:14:40,248,2141,52.0
2024-12-02 17:14:40,248,2138,52.0
2024-12-02 17:14:40,248,2144,52.0
2024-12-02 17:14:40,248,2148,52.0
2024-12-02 17:14:40,248,2139,52.0
2024-12-02 17:14:40,248,2146,52.0
2024-12-02 17:14:40,247,2142,52.0
2024-12-02 17:14:40,248,2145,52.0
2024-12-02 17:14:41,248,2147,52.0
2024-12-02 17:14:41,248,2138,52.0
2024-12-02 17:14:41,248,2144,52.0
2024-12-02 17:14:41,248,2148,52.0
2024-12-02 17:14:41,248,2140,52.0
2024-12-02 17:14:41,248,2146,52.0
2024-12-02 17:14:41,248,2141,52.0
2024-12-02 17:14:41,248,2148,52.0
2024-12-02 17:14:41,248,2135,52.0
2024-12-02 17:14:41,72,3139,52.0
2024-12-02 17:14:42,41,7799,52.0
2024-12-02 17:14:42,26,2208,52.0
2024-12-02 17:14:42,16,1150,52.0
2024-12-02 17:14:42,6,1326,52.0
2024-12-02 17:14:42,4,947,52.0
2024-12-02 17:14:42,5,1302,52.0
2024-12-02 17:14:42,8,1337,52.0
2024-12-02 17:14:42,18,1355,52.0
2024-12-02 17:14:42,27,2075,52.0
2024-12-02 17:14:42,37,1569,52.0
2024-12-02 17:14:43,52,4810,52.0
2024-12-02 17:14:43,116,1564,52.0
2024-12-02 17:14:43,249,6567,52.0
2024-12-02 17:14:43,249,6565,52.0
2024-12-02 17:14:43,249,6552,52.0
2024-12-02 17:14:43,249,6561,52.0
2024-12-02 17:14:43,249,6553,52.0
2024-12-02 17:14:43,249,6560,52.0
2024-12-02 17:14:43,249,6557,52.0
2024-12-02 17:14:44,249,6550,52.0
2024-12-02 17:14:44,249,6549,52.0
2024-12-02 17:14:44,249,6551,52.0
2024-12-02 17:14:44,249,6549,52.0
2024-12-02 17:14:44,249,6548,52.0
2024-12-02 17:14:44,247,5285,52.0
2024-12-02 17:14:44,50,16163,52.0
2024-12-02 17:14:44,34,3857,52.0
2024-12-02 17:14:44,23,2770,52.0
2024-12-02 17:14:45,16,1284,52.0
2024-12-02 17:14:45,11,1531,52.0
2024-12-02 17:14:45,15,1739,52.0
2024-12-02 17:14:45,21,2410,52.0
2024-12-02 17:14:45,29,1783,52.0
2024-12-02 17:14:45,41,1243,52.0
2024-12-02 17:14:45,53,4647,52.0
2024-12-02 17:14:45,213,1459,52.0
2024-12-02 17:14:45,248,2136,52.0
2024-12-02 17:14:46,248,2140,52.0
2024-12-02 17:14:46,248,2135,52.0
2024-12-02 17:14:46,248,2134,52.0
2024-12-02 17:14:46,248,2135,52.0
2024-12-02 17:14:46,248,2142,52.0
2024-12-02 17:14:46,248,2142,52.0
2024-12-02 17:14:46,248,2136,52.0
2024-12-02 17:14:46,248,2136,52.0
2024-12-02 17:14:46,77,2654,52.0
2024-12-02 17:14:46,41,7138,52.0
2024-12-02 17:14:47,28,4567,52.0
2024-12-02 17:14:47,18,1687,52.0
2024-12-02 17:14:47,7,1565,52.0
2024-12-02 17:14:47,4,1156,52.0
